name,median,units,distribution,dist_param1,dist_param2,lower_bound,upper_bound
k_CCL2_deg,0.06,1/hour,lognormal,-2.8134107167600364,0.5,0.02207276647028654,0.1630969097075427
k_C1_death,0.0001,1/day,lognormal,-9.210340371976182,0.7,2.465969639416065e-05,0.00040551999668446745
k_Th_Treg,0.022,1/day,lognormal,-3.816712825623821,0.7,0.005425133206715342,0.08921439927058283
k_MDSC_death,0.015,1/day,lognormal,-4.199705077879927,0.7,0.003698954459124097,0.060827999502670115
k_APC_mat,1.5,1/day,lognormal,0.4054651081081644,0.7,0.36989549591240974,6.0827999502670115
k_PDGF_sec,2e-11,nanomolarity*liter/(cell*day),lognormal,-24.635288842374557,1.0,2.7067056647322537e-12,1.47781121978613e-10
k_IL6_sec_apsc,4e-11,nanomolarity*liter/(cell*day),lognormal,-23.942141661814613,1.0,5.4134113294645074e-12,2.95562243957226e-10
k_Mac_death,0.02,1/day,lognormal,-3.912023005428146,0.7,0.004931939278832129,0.08110399933689349
k_Treg_act,5.0,1/day,lognormal,1.6094379124341005,1.0,0.6766764161830635,36.945280494653254
C1_PDL1_base,120000.0,molecule,lognormal,11.695247021764184,1.0,16240.233988393524,886686.731871678
CCL2_50,0.23,nanomolarity,lognormal,-1.4696759700589417,0.7,0.056717301706569495,0.9326959923742751
TGFb_50,0.07,nanomolarity,lognormal,-2.659260036932778,0.7,0.017261787475912456,0.28386399767912723
k_APC_mig,4.0,1/day,lognormal,1.3862943611198906,0.7,0.9863878557664259,16.220799867378698
k_Th_act,10.0,1/day,lognormal,2.302585092994046,0.7,2.465969639416065,40.55199966844675
EC50_GMCSF,0.5,nanomolarity,lognormal,-0.6931471805599453,1.0,0.06766764161830635,3.694528049465325
PD1_50,6.0,dimensionless,lognormal,1.791759469228055,0.7,1.479581783649639,24.331199801068045
r_PDL1_IFNg,6.0,dimensionless,lognormal,1.791759469228055,0.7,1.479581783649639,24.331199801068045
k_IFNg_deg,7.68,1/day,lognormal,2.038619547159581,0.5,2.825314108196677,20.876404442565466
